Date,Course,Tee Time,Group Size,Weather,Players,Game,Duration (minutes),Cart?,Scramble Partner,Cart Partner,Tee Box,Holes Played,Score,Front 9,Back 9,Bunker Shots,Water Hazard,Ball Lost,Gallery Rules Taken,Tees Broken,Putts,GIR%,FIR%,Eagle Looks,Eagles,Birdie Looks,Birdies,Pars,Bogeys,Double Bogeys,Triple Bogeys,Oofs,0 Putts,1 Putts,2 Putts,3+ Putts,Golf Jacket Color,Golf Shirt Color,Golf Pants Color,Golf Socks Color,Golf Shoe Color,Golf Hat Color
2024-10-12,Skyway,14:30,3,Windy,"Jed, Nik, Rando",3 Man Scramble,135,Yes,"Jed, Nik",None,Front,9,39,,,,,,,,,,,0,0,3,1,4,4,0,0,0,,,,,,Lime Green,Khakis,Lime Green,White/Green,Green
2024-10-16,Skyway,08:00,4,Windy,"Jiwei, Rando, Rando",2 Man Scramble,130,No,Jiwei,,Front,9,43,,,,,,,,,,,0,0,2,0,4,4,0,1,0,,,,,Lime Green,Dark Green,Olive Green,Green,White/Green,Dark Green
2024-10-17,Skyway,07:40,4,Sunny,"Kevin, Rando, Rando",2 Man Scramble,140,No,Kevin,,Front,9,39,,,,,,,,,,,0,0,4,1,4,4,0,0,0,,,,,Dark Green,Olive Green,Navy Blue,Olive Green,White/Green,Dark Green
2024-10-19,Skyway,02:30,4,Sunny,"Jed, Jiwei, Nik",2 Man Scramble,140,No,Jed,,Front,9,42,,,,,,,,,,,0,0,5,0,5,3,0,1,0,,,,,,Pistachio,Jungle Green,Green,White/Green,Dark Blue/Forest Green
2024-10-28,Skyway,07:10,4,Cloudy,"Jiwei, Kevin, Deezy",2 Man Scramble,120,Yes,Deezy,Deezy,Front,9,47,,,,,,,,,,,0,0,0,0,2,4,2,1,0,,,,,Lime Green,Lime Green,Olive Green,Green,White/Green,Lime Green
2024-10-31,Skyway,08:40,4,Sunny,"Kevin, Rando, Rando",Regular,130,No,,,Black,9,50,,,1,0,0,,0,18,0,67,0,0,0,0,1,4,2,2,0,0,2,5,2,,Lime Green,Blue,Green,White/Green,Light Green
2024-11-08,Stonebridge,10:30,2,Sunny,Kevin,Regular,272,No,,,Blue,18,88,42,46,1,0,1,,0,34,28,62,0,0,5,0,7,6,3,2,0,0,4,12,2,Lime Green,Lime Green,Black,,White/Green,Lime Green
2024-01-28,Sunset Valley Golf Course,10:40,4,Rain,"Jordan, Scialabba, Jed",Regular,277,No,,,,18,90,44,46,0,0,2,,1,35,17,71,0,0,3,1,2,11,2,2,0,0,3,13,2,Forest Green,Lime Green,Moss Green,Green,White/Green,
2024-03-20,UNM North Golf Course,10:00,1,Sunny,,Self Scramble,129,No,,,White,9,43,,,0,0,1,,2,21,44,86,0,0,1,0,2,6,1,0,0,0,4,5,0,Hunter Green,Lime Green,Emerald Green,Green,Black/Green,
2024-05-05,Van Cortlandt,05:55,4,Rain,"Jed, Jordan, Jason",Regular,269,Yes,,,Black,18,95,49,46,0,0,2,,0,38,22,100,0,0,2,0,2,8,7,1,0,0,14,1,3,Dark Green,White,Olive Green,Green,White/Green,Dark Blue/Forest Green
2024-01-13,Weequahic Park Golf Course,08:30,4,Windy,"Kevin, Jed, Connor",Regular,230,No,,,,18,100,48,52,2,0,0,,0,40,22,77,0,0,2,0,4,4,6,3,1,0,1,12,5,,Celadon,Moss Green,White,White/Green,
2024-02-04,Weequahic Park Golf Course,10:10,3,Sunny,"Jed, Jiwei",Scramble,240,No,"Jed, Jiwei",,,18,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
2024-03-03,Weequahic Park Golf Course,11:30,4,Sunny,"Jiwei, Kevin, Jed",Regular,263,No,,,,18,99,48,51,1,0,1,,1,38,11,39,0,0,2,1,1,7,6,2,1,0,2,12,4,,Jungle Green,Emerald Green,White,White/Green,
2024-06-07,Weequahic Park Golf Course,07:20,4,Cloudy,"Kevin, Jiwei, Paul",Regular,246,Yes,,,Blue,18,94,49,45,1,0,3,,0,35,17,69,0,0,3,1,2,8,5,1,1,0,3,12,3,,Lime Green,Khakis,Lime Green,White/Green,Lime Green
2024-04-20,Whispering Pines Golf Club,14:00,4,Rain,"Jiwei, Jed, Kevin",Regular,153,Yes,,,White,9,58,,,0,3,3,,0,18,0,0,0,0,0,0,0,0,5,4,0,0,0,9,0,,Lime Green,Emerald Green,Green,White/Green,Lime Green
2024-05-27,Wind Watch Golf & Country Club,07:20,4,Rain,"Jiwei, Jed, Deezy",Regular,267,Yes,,Deezy,Blue,18,109,55,54,3,2,3,,0,39,36,11,0,0,1,0,2,5,3,7,1,0,4,7,7,,Jungle Green,Green,Moss Green,Black/Green,Dark Blue/Forest Green
