Date,Course,Tee Time,Weather,Duration (minutes),Group Size,Players,Scramble Team,Contributions,Solo Birdies?,Cart?,Cart Partner,Tee Box,Distance,Holes Played,Own Score?,Game,Par,Score,Front 9,Back 9,Bunker Shots,Water Hazard,Ball Lost,Gallery Rules,Putts,FIR%,GIR%,Eagle Looks,Eagles,Birdie Looks,Birdies,Pars,Bogeys,Double Bogeys,Triple Bogeys+,0 Putts,1 Putts,2 Putts,3+ Putts,Golf Jacket Color,Golf Shirt Color,Golf Pants Color,Golf Socks Color,Golf Shoe Color,Golf Hat Color
2025-05-23,Skyway Golf Course,12:50,Windy,132,4,"Kevin, Random, Random",,,,No,,Black,3247,9,Yes,Regular,36,49,,,0,0,0,0,15,33,0,0,0,0,0,1,3,5,0,1,2,5,1,,Electric Lime,Olive Green,Red,White/Green,Black
2025-07-31,Skyway Golf Course,08:30,Partly Cloudy,124,4,"Kevin, Raj, Praneel",,,,No,,Black,3247,9,Yes,Regular,36,49,,,1,0,0,0,16,50,0,0,0,0,0,1,5,1,2,0,2,7,0,,Lime Green,Black,,White/Green,Lime Green
2025-04-03,Skyway Golf Course,07:00,Cloudy,98,3,"Kevin, Random",,,,No,,Gold,6040,9,Yes,Regular,36,50,,,0,0,0,0,17,83,11,0,0,1,0,2,2,3,2,0,2,7,1,Forest Green,Forest Green,Emerald Green,Forest Green,White/Green,Eucalyptus
2025-04-27,Skyway Golf Course,14:20,Windy,158,3,"Jed, Tharan",,,,No,,Black,3247,9,Yes,Regular,36,52,,,,,,,,,,0,0,0,0,0,,,,,,,,Forest Green,Lime Green,Khaki,Neon Green,White/Green,Cadmium Green
2025-08-17,Weequahic Golf Course,08:12,Sunny,238,4,"Kevin, Deezy, Tharan","Kevin, Tharan",,0,No,,Blue,5729,18,No,Scramble,70,59,,,1,0,2,0,25,,,0,0,17,11,7,0,0,0,0,11,7,0,,Lime Green,Forest Green,Seafoam Green,White/Green,Dark Blue
2025-09-20,Flushing Pitch and Putt,20:00,Cloudy,98,3,"Jiwei, Leo",,,,No,,,,,,,54,62,,,1,0,1,1,35,,50,0,0,9,0,11,6,1,0,0,5,9,4,,Lime Green,Black,Black,White/Green,Lime Green
2025-03-20,Sycamore Creek Golf Course,11:00,Cloudy,116,2,Jiwei,,,,Yes,Jiwei,Blue,6269,13,Yes,Regular,50,65,46,19,1,0,2,2,24,23,17,0,0,4,0,4,4,4,1,1,2,8,2,Hunter Green,Olive Green,Forest Green,Olive Green,White/Green,Eucalyptus
2025-10-18,Pine Lakes,13:00,Cloudy,220,3,"Tharan, Adhika",,,,Yes,,Black,6675,18,No,Scramble,70,66,29,27,0,0,0,0,30,,,1,0,15,6,10,2,0,0,0,6,12,0,,Lime Green,Brown,White,White/Green,Lime Green
2025-02-09,Mid South Club,07:30,Sunny,220,3,"Kevin, Nik","Kevin, Nik",,,Yes,Kevin,White,6170,18,No,Scramble,71,69,33,36,0,0,0,0,32,,,0,0,13,3,14,1,0,0,0,4,14,0,,Lime Green,Emerald Green,Electric Lime,White/Green,Forest Green
2025-05-25,Mill Pond,08:16,Sunny,236,4,"Kevin, Tharan, Nik",,,,Yes,Nik,Blue,6304,16,Yes,Stableford,70,79,43,36,0,1,1,0,31,62,22,0,0,4,0,4,7,4,1,0,2,13,1,Lime Green,Cadium Green,Green,Lime Green,White/Green,Forest Green
